,aflpp,aflpp-inc,fun,fun-inc,fun-static,fun-static-inc,fairfuzz,fairfuzz-inc
cxxfilt,3011.35,0.0,3057.25,1.5242333172829492,3020.95,0.31879389642518835,2693.9,-10.541783585435098
objdump,2974.0,0.0,3251.75,9.339273705447209,3009.35,1.1886348352387326,2707.8,-8.950907868190983
nm-new,1720.85,0.0,1791.05,4.079379376470933,1739.1,1.0605224162477846,1670.5,-2.9258796524973074
readelf,4501.9,0.0,4740.5,5.299984451009582,4501.5,-0.008885137386428758,4484.45,-0.387614118483303
djpeg,1445.25,0.0,1562.9,8.140460128005541,1476.05,2.131119183532258,1420.6,-1.7055872686386502
mjs,1298.95,0.0,1362.25,4.873166788559987,1326.35,2.1093960506562888,1186.6,-8.649293660264071
mutool,1516.4,0.0,1520.45,0.2670799261408569,1514.9,-0.09891849116328146,1485.2,-2.0575046161962574
readpng,429.4,0.0,450.6,4.937121564974394,439.45,2.3404750815090853,433.25,0.8965999068467683
tcpdump,4784.45,0.0,5036.25,5.26288288099991,4857.5,1.5268212647221768,4733.9,-1.0565477745613432
xmllint,3027.1,0.0,3660.75,20.932575732549306,3113.4,2.8509134154801687,3586.75,18.48799180734036
